sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,resp_consent,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade,,,,,,,,,,,,,,,
83,4/1/15,6,9,5,4/1/15 9:33,0.63,0.61,0.80,14.2,18.4,686,7.29,1,1,0,1,1,1,4/1/15 9:40,0.59,0.58,0.54,18.5,684,7.32,100,1.0,4/1/15 9:50,0.59,0.59,0.38,18.1,691,7.39,4/1/15 15:25,4/1/15,5:52:00,0.30,0.30,0.34,20.4,20.2,690,7.66,0,0,0,1.00,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
84,4/2/15,6,1,6,8:33,0.84,0.82,0.76,14.5,17.9,1622,7.85,1,1,1,1,1,1,8:50,0.41,0.43,1.01,18.0,1329,7.82,50,1.0,9:00,0.50,0.57,0.62,18.4,1373,7.59,15:20,4/2/15,6:47,0.38,0.48,1.69,28.6,21.8,1288,7.84,0,0,0,1.00,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,
85,4/2/15,6,1,6,9:30,0.63,0.64,0.92,18.9,19.4,1303,7.50,1,1,1,1,1,1,9:35,0.54,0.58,1.18,19.6,1251,7.40,101,2.0,9:45,0.45,0.51,1.39,19.9,1251,7.33,15:40,4/2/15,6:10,0.27,0.33,1.13,24.6,20.2,1245,7.53,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
86,4/2/15,6,1,6,9:50,0.64,0.66,0.65,18.9,19.8,627,7.27,1,1,1,1,1,1,10:05,0.35,0.45,1.70,19.9,625,7.20,102,2.0,10:14,0.57,0.56,1.02,20.2,1250,7.22,15:45,4/2/15,5:55,0.27,0.32,0.69,21.7,20.3,1238,7.54,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
87,4/2/15,6,1,6,10:25,0.67,0.70,0.59,17.4,19.8,1247,7.18,1,1,1,1,1,1,10:35,0.51,0.58,0.71,20.4,1243,7.30,166,2.0,10:45,0.59,0.58,0.82,20.3,1242,7.32,16:00,4/2/15,5:35,0.45,0.48,1.20,21.6,21.2,1242,7.44,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
88,4/2/15,6,2,J7/6,4/2/15 8:25,0.69,0.69,0.27,12.3,18.0,1287,7.81,1,3,1,2,1,1,4/2/15 8:35,0.69,0.67,0.57,17.8,1322,7.65,70,1.0,4/2/15 8:45,0.66,0.64,0.75,17.7,1325,7.83,4/3/15 10:30,4/3/15,26:05:00,0.63,0.63,0.73,16.1,16.6,1366,7.98,0,0,1,0.50,1,3,1,2,1,1,1,1,,,,,,,,,,,,,,,
89,4/2/15,6,2,J7/6,4/2/15 8:55,0.71,0.73,0.61,15.5,19.0,1310,7.56,1,1,0,1,1,1,4/2/15 9:05,0.65,0.66,0.68,18.7,1320,7.65,65,1.0,4/2/15 9:15,0.65,0.67,0.78,20.0,1324,7.45,4/3/15 10:40,4/3/15,25:45:00,0.55,0.56,0.54,15.9,16.5,1327,7.80,0,0,0,1.00,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,
90,4/2/15,6,2,J7/6,4/2/15 9:25,0.66,0.66,0.89,18.5,20.4,1244,7.57,1,1,1,1,1,1,4/2/15 9:35,0.55,0.56,1.01,20.2,1260,7.11,50,1.0,4/2/15 9:45,0.53,0.55,0.89,20.5,1255,7.19,4/3/15 11:10,4/3/15,25:45:00,0.52,0.53,0.97,28.3,21.5,1222,7.46,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
91,4/2/15,6,2,J7/6,4/2/15 15:05,0.84,0.84,1.74,28.6,21.8,1201,7.39,1,3,1,1,1,1,4/2/15 15:15,0.79,0.81,2.18,23.5,1316,7.54,60,1.0,4/2/15 15:25,0.80,0.82,1.95,23.6,1320,7.43,4/3/15 11:00,4/3/15,19:55:00,0.68,0.70,0.46,20.1,17.6,1337,7.55,0,0,1,0.10,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,,
92,4/2/15,6,2,J7/6,4/2/15 15:35,0.95,0.96,1.44,21.5,22.7,1299,7.36,1,3,1,1,1,1,4/2/15 15:45,0.89,0.89,1.70,22.7,1314,7.20,80,1.0,4/2/15 15:55,0.84,0.83,1.20,22.6,1315,7.34,4/3/15 10:50,4/3/15,19:15:00,0.82,0.82,0.77,15.9,16.0,1244,7.70,0,0,0,1.00,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,,
93,4/5/15,6,5,5,4/5/15 8:25,0.79,0.79,0.92,12.2,18.7,1390,7.78,1,1,1,1,1,1,4/5/15 8:35,0.74,0.75,0.37,19.1,1385,7.40,80,1.0,4/5/15 8:45,0.72,0.74,0.49,19.3,1388,7.10,4/6/15 10:15,4/6/15,25:50:00,0.67,0.67,0.80,17.8,17.9,1392,7.25,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
94,4/5/15,6,5,5,4/5/15 8:55,0.76,0.76,0.24,14.0,18.9,1393,7.38,1,1,1,1,1,1,4/5/15 9:05,0.74,0.75,0.79,19.1,1384,7.48,130,2.0,4/5/15 9:15,0.72,0.70,0.64,20.5,1401,7.42,4/6/15 10:25,4/6/15,25:30:00,0.01,0.01,0.26,21.8,20.6,1399,7.40,0,0,0,1.00,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
95,4/5/15,6,5,5,4/5/15 9:25,0.73,0.73,0.74,15.5,20.7,1435,7.35,1,3,0,1,1,1,4/5/15 9:35,0.74,0.74,0.44,20.3,1450,7.43,140,2.0,4/5/15 9:45,0.58,0.56,0.70,21.7,1470,7.42,4/6/15 10:35,4/6/15,25:10:00,0.22,0.23,0.53,22.5,22.8,1480,7.50,0,0,1,0.15,1,3,0,1,1,1,0,0,,,,,,,,,,,,,,,
96,4/5/15,6,5,5,4/5/15 10:00,0.78,0.78,0.50,18.3,20.9,1471,7.41,1,2,1,1,1,1,4/5/15 10:10,0.69,0.70,0.75,19.9,1440,7.42,190,2.0,4/5/15 10:20,0.59,0.60,0.54,21.8,1490,7.23,4/6/15 10:05,4/6/15,24:05:00,0.36,0.39,0.71,19.5,16.2,1485,7.33,0,0,0,1.00,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
97,4/5/15,6,5,5,4/5/15 8:35,0.68,0.75,2.01,15.5,19.4,,7.45,1,1,1,1,1,1,4/5/15 8:50,0.76,0.76,0.51,20.6,,7.46,90,1.0,4/5/15 9:05,0.64,0.69,0.77,19.6,,7.29,,4/6/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4/5/15,6,5,5,4/5/15 9:50,0.83,0.84,0.15,16.5,20.4,,7.23,1,1,0,2,1,1,4/5/15 10:00,0.75,0.79,0.63,21.4,,6.97,90,1.0,4/5/15 10:15,0.76,0.78,0.58,20.9,,7.19,4/6/15 10:25,4/6/15,24:35:00,0.38,0.40,0.79,22.2,17.6,,7.55,1,1,0,1.00,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
99,4/5/15,6,5,5,4/5/15 10:35,0.84,0.86,0.98,16.7,20.0,,7.25,1,1,1,2,1,1,4/5/15 10:45,0.72,0.73,0.69,20.9,,7.16,90,1.0,4/5/15 10:55,0.68,0.70,0.25,21.3,,7.10,4/6/15 10:40,4/6/15,24:05:00,0.39,0.38,3.17,,,,,1,0,1,0.95,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,
104,4/6/15,6,8,4,4/6/15 8:30,0.89,0.90,0.56,16.0,20.4,1385,7.38,1,3,1,1,1,1,4/6/15 8:40,0.82,0.82,0.68,20.9,1312,7.47,70,1.0,4/6/15 8:50,0.70,0.72,0.24,20.8,1387,7.29,4/7/15 15:05,4/7/15,30:35:00,0.08,0.08,0.61,22.9,26.7,1400,7.70,0,0,0,1.00,1,3,1,1,1,1,0,0,,,,,,,,,,,,,,,
105,4/6/15,6,8,4,4/6/15 9:00,0.79,0.84,0.22,18.1,20.8,1385,7.36,1,2,1,1,1,1,4/6/15 9:10,0.66,0.67,0.33,20.8,1386,7.39,180,2.0,4/6/15 9:20,0.59,0.58,0.52,21.1,1391,7.28,4/7/15 15:15,4/7/15,30:15:00,0.01,0.01,1.49,29.3,32.2,1420,7.44,0,0,0,1.00,1,2,1,1,1,1,0,0,,,,,,,,,,,,,,,
106,4/6/15,6,8,4,4/6/15 9:30,0.83,0.83,1.36,18.4,21.4,1421,7.39,1,1,1,1,1,1,4/6/15 9:40,0.78,0.79,0.71,21.4,1423,7.40,110,1.0,4/6/15 9:50,0.74,0.76,0.59,21.7,1434,7.30,,4/7/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4/6/15,6,8,4,4/6/15 15:10,0.75,0.77,1.12,26.0,25.1,1246,7.46,1,1,1,1,1,1,4/6/15 15:25,0.70,0.71,1.05,25.3,1250,7.44,140,2.0,4/6/15 15:35,0.58,0.57,0.81,24.9,1254,7.29,,4/7/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,4/6/15,6,8,4,4/6/15 15:45,0.79,0.81,0.99,27.2,24.4,1242,7.35,1,1,1,1,1,1,4/6/15 15:55,0.83,0.78,1.53,24.7,1250,7.37,85,1.0,4/6/15 16:00,0.73,0.70,1.06,25.3,1244,7.18,4/7/15 15:35,4/7/15,23:50:00,0.52,0.50,1.38,28.7,25.0,1239,7.61,0,0,1,0.70,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
111,4/7/15,6,8,4,4/7/15 15:45,0.78,0.78,0.58,25.2,25.5,1420,7.45,1,2,1,1,1,1,4/7/15 15:55,0.81,0.82,1.68,25.4,1400,7.45,140,2.0,4/7/15 16:05,0.69,0.70,0.91,25.7,1425,7.34,4/8/15 10:40,4/8/15,18:55:00,0.62,0.62,0.52,24.5,21.1,1403,7.50,0,0,0,1.00,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
112,4/8/15,6,11,3,4/8/15 8:30,0.76,0.74,0.75,17.3,22.6,1480,7.56,1,1,1,1,1,1,4/8/15 8:40,0.62,0.64,0.86,23.2,1477,7.59,170,2.0,4/8/15 8:50,0.50,0.50,0.39,23.4,1477,7.51,4/9/15 10:40,4/9/15,26:10:00,0.06,0.04,0.99,21.9,22.3,,7.68,0,0,0,1.00,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,
113,4/8/15,6,11,3,4/8/15 9:05,0.71,0.70,0.84,20.5,23.1,1471,7.57,1,1,1,1,1,1,4/8/15 9:15,0.64,0.64,0.69,22.7,1467,7.51,60,1.0,4/8/15 9:25,0.60,0.61,0.49,23.3,1466,7.35,,4/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,4/8/15,6,11,3,4/8/15 9:35,0.67,0.68,0.70,22.2,23.8,1458,7.35,1,1,1,1,1,1,4/8/15 9:45,0.65,0.65,0.72,23.7,1461,7.34,100,1.0,4/8/15 9:55,0.53,0.54,0.78,23.8,1465,7.23,4/9/15 11:00,4/9/15,25:25:00,0.45,0.45,1.46,22.1,23.0,,7.64,0,0,1,0.20,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
115,4/8/15,6,11,3,4/8/15 10:05,0.69,0.69,1.29,21.6,24.4,1469,7.10,1,3,1,1,1,1,4/8/15 10:15,0.58,0.59,0.91,24.5,1468,7.35,80,1.0,4/8/15 10:25,0.52,0.51,1.09,24.1,1473,7.40,4/9/15 11:10,4/9/15,25:05:00,0.54,0.48,1.01,23.9,23.4,,7.76,0,0,1,0.50,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,,
116,4/8/15,6,11,3,4/8/15 15:15,0.73,0.74,0.77,30.4,26.1,1470,7.15,1,2,1,1,1,1,4/8/15 15:20,0.75,0.75,0.67,26.3,1470,7.24,70,1.0,4/8/15 15:30,0.62,0.63,0.63,26.2,1467,7.28,4/9/15 10:30,4/9/15,19:15:00,0.39,0.36,1.07,22.8,22.1,,7.66,0,0,0,1.00,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
117,4/8/15,6,11,3,4/8/15 15:40,0.66,0.66,0.27,25.7,25.5,1466,7.25,1,1,1,1,1,1,4/8/15 15:50,0.52,0.50,0.15,25.5,1448,7.34,100,1.0,4/8/15 16:00,0.71,0.68,0.77,25.9,1465,7.35,4/9/15 10:50,4/9/15,19:10:00,0.60,0.57,1.07,23.0,23.3,,7.71,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
122,4/9/15,6,7,9,4/9/15 8:40,0.62,0.61,0.33,21.8,22.2,1506,7.60,1,1,1,1,1,1,4/9/15 9:00,0.56,0.58,0.41,21.7,1450,7.46,120,2.0,4/9/15 9:10,0.43,0.43,0.67,22.4,1668,7.42,4/10/15 11:20,4/10/15,26:40:00,0.27,0.28,0.01,17.9,17.1,1589,7.79,0,0,1,0.20,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
123,4/9/15,6,7,9,4/9/15 9:15,0.55,0.56,1.11,23.4,21.5,1452,7.46,1,1,1,1,1,1,4/9/15 9:20,0.49,0.51,0.83,20.9,1448,7.29,122,1.0,4/9/15 9:30,0.55,0.52,0.59,22.3,1454,7.32,4/10/15 11:30,4/10/15,26:15:00,0.43,0.41,0.25,17.3,16.9,1437,7.75,0,0,1,0.20,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,
124,4/9/15,6,7,9,4/9/15 9:40,0.46,0.49,0.44,21.9,21.4,,7.44,1,1,1,2,1,1,4/9/15 9:55,0.28,0.31,0.86,20.8,1441,7.55,110,1.0,4/9/15 10:05,0.40,0.42,0.01,22.2,1479,7.56,4/10/15 10:53,4/10/15,25:13:00,0.33,0.28,1.00,20.2,20.7,1452,8.03,0,0,0,1.00,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,
125,4/9/15,6,7,9,4/9/15 10:15,0.49,0.49,0.99,20.4,21.4,1494,7.50,1,1,1,1,1,1,4/9/15 10:30,0.62,0.67,0.50,22.2,1468,7.43,112,1.0,4/9/15 10:40,0.35,0.32,0.67,23.2,1472,7.37,4/10/15 11:05,4/10/15,24:50:00,0.35,0.32,0.78,21.7,16.6,1665,7.74,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
126,4/9/15,6,7,9,4/9/15 8:30,0.66,0.66,0.22,21.0,22.3,,7.56,1,3,1,1,1,1,4/9/15 8:40,0.65,0.62,0.09,22.0,,7.55,140,2.0,4/9/15 8:50,0.54,0.53,0.01,22.2,,7.45,4/10/15 10:45,4/10/15,26:15:00,0.51,0.49,0.01,16.6,15.5,,7.81,0,0,1,0.20,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,,
127,4/9/15,6,7,9,4/9/15 9:00,0.62,0.65,0.82,19.2,21.1,,7.43,1,1,0,2,1,1,4/9/15 9:10,0.63,0.61,0.70,21.0,,7.58,30,1.0,4/9/15 9:20,0.54,0.52,1.09,21.5,,7.30,4/10/15 11:15,4/10/15,26:15:00,0.25,0.22,0.70,13.8,12.8,,7.84,0,0,0,1.00,1,1,0,2,1,1,0,1,,,,,,,,,,,,,,,
128,4/9/15,6,7,9,4/9/15 9:30,0.62,0.62,1.83,21.3,20.9,,7.70,1,1,1,2,1,1,4/9/15 9:40,0.53,0.54,1.96,21.6,,7.73,70,1.0,4/9/15 9:50,0.41,0.40,2.07,21.6,,7.81,4/10/15 11:00,4/10/15,25:30:00,0.36,0.33,1.24,17.7,14.1,,7.84,0,0,1,0.50,1,1,1,2,1,1,0,1,,,,,,,,,,,,,,,
129,4/9/15,6,7,9,4/9/15 10:00,0.63,0.61,1.21,21.8,22.3,,7.54,1,2,1,2,1,1,4/9/15 10:10,0.54,0.51,1.07,23.3,,7.60,120,1.0,4/9/15 10:20,0.55,0.53,1.19,22.4,,7.37,4/10/15 10:35,4/10/15,24:35:00,0.51,0.50,0.37,18.1,15.2,,7.62,0,0,0,1.00,1,2,1,2,1,1,1,1,,,,,,,,,,,,,,,
130,4/12/15,3,6,7,4/12/15 9:00,0.90,0.88,0.64,11.0,17.9,1435,7.70,1,1,1,1,1,1,4/12/15 9:10,0.84,0.84,0.45,19.1,1423,7.55,65,1.0,4/12/15 9:20,0.72,0.71,0.44,19.9,1449,7.32,4/13/15 10:40,4/13/15,25:40:00,0.60,0.61,0.16,18.3,13.4,1450,7.29,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
131,4/12/15,3,6,7,4/12/15 9:30,0.87,0.87,0.51,11.7,18.4,1413,7.51,1,2,1,2,1,1,4/12/15 9:40,0.68,0.69,0.39,18.8,1432,7.40,140,2.0,4/12/15 9:50,0.60,0.62,0.57,18.5,1432,7.42,4/13/15 11:00,4/13/15,25:30:00,0.16,0.13,0.15,14.3,12.4,1547,7.53,0,0,0,1.00,1,2,1,2,1,1,0,0,,,,,,,,,,,,,,,
132,4/12/15,3,6,7,4/12/15 10:00,0.80,0.78,0.53,12.3,18.6,1422,7.48,1,3,1,1,1,1,4/12/15 10:10,0.68,0.67,0.62,18.2,1425,7.58,100,1.0,4/12/15 10:20,0.55,0.55,0.66,18.2,1430,7.55,4/13/15 11:07,4/13/15,25:07:00,0.14,0.14,0.15,14.7,17.0,1440,7.76,0,0,0,1.00,1,3,1,1,1,1,0,0,,,,,,,,,,,,,,,
133,4/12/15,3,6,7,4/12/15 10:30,0.79,0.77,0.17,14.5,18.7,1421,7.35,1,3,1,2,1,1,4/12/15 10:40,0.72,0.71,0.32,19.1,1413,7.49,165,2.0,4/12/15 10:50,0.58,0.58,0.39,20.5,1430,7.50,4/13/15 10:50,4/13/15,24:20:00,0.49,0.48,0.37,14.5,14.1,1425,7.20,0,0,0,1.00,1,3,1,2,1,1,0,0,,,,,,,,,,,,,,,
134,4/13/15,3,5,10,4/13/15 8:40,0.81,0.83,,12.4,16.6,,7.85,1,1,0,2,1,1,4/13/15 8:50,0.79,0.75,,17.5,,7.49,170,2.0,4/13/15 9:00,0.75,0.76,,17.3,,7.33,4/14/15 9:00,4/14/15,24:20:00,0.25,0.22,,17.4,12.2,,7.63,0,0,1,0.20,1,1,0,2,1,1,0,1,,,,,,,,,,,,,,,
135,4/13/15,3,5,10,4/13/15 9:25,0.83,0.88,,15.9,17.1,,7.24,1,1,0,2,1,1,4/13/15 9:30,0.89,0.99,,17.4,,7.38,80,1.0,4/13/15 9:35,0.95,0.95,,17.7,,7.30,4/14/15 8:35,4/14/15,23:10:00,0.91,0.91,,16.4,12.0,,7.35,0,0,0,1.00,1,1,0,2,1,1,1,1,,,,,,,,,,,,,,,
136,4/13/15,3,5,10,4/13/15 10:00,0.93,0.91,,15.3,17.0,,7.24,1,1,1,1,1,1,4/13/15 10:10,0.61,0.65,,18.2,,7.25,122,1.0,4/13/15 10:20,0.79,0.77,,18.5,,7.41,4/14/15 9:10,4/14/15,23:10:00,0.73,0.73,,16.0,13.9,,7.57,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
137,4/13/15,3,5,10,4/13/15 8:40,0.78,0.79,,10.8,18.1,1634,7.67,1,1,1,1,1,1,4/13/15 8:50,0.61,0.62,,17.1,1640,7.63,180,2.0,4/13/15 9:00,0.57,0.56,,16.7,1635,7.71,4/14/15 8:30,4/14/15,23:50:00,0.52,0.52,,14.3,12.3,1638,7.89,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
138,4/13/15,3,5,10,4/13/15 9:10,0.75,0.78,,13.1,17.3,1157,7.69,1,2,1,2,1,1,4/13/15 9:20,0.66,0.65,,16.6,1142,7.60,170,2.0,4/13/15 9:30,0.56,0.58,,16.8,1131,7.54,4/14/15 9:10,4/14/15,24:00:00,0.54,0.53,,15.5,11.2,1123,7.51,0,0,0,1.00,1,2,1,2,1,1,1,1,,,,,,,,,,,,,,,
139,4/13/15,3,5,10,4/13/15 9:40,0.80,0.81,,14.0,17.1,1112,7.35,1,2,1,2,1,1,4/13/15 9:50,0.77,0.76,,16.8,1120,7.40,170,2.0,4/13/15 10:00,0.68,0.68,,16.6,1105,7.44,4/14/15 8:50,4/14/15,23:10:00,0.12,0.12,,11.7,9.7,1110,7.42,0,0,0,1.00,1,2,1,2,1,1,0,0,,,,,,,,,,,,,,,
140,4/13/15,3,5,10,4/13/15 10:10,0.77,0.79,,13.8,17.0,1120,7.54,1,3,1,1,1,1,4/13/15 10:20,0.72,0.72,,17.1,1112,7.48,140,1.0,4/13/15 10:30,0.66,0.65,,16.8,1117,7.49,4/14/15 8:40,4/14/15,22:30:00,0.65,0.65,,14.2,11.4,1109,7.82,0,0,0,1.00,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
